,cve_ent_mun,Amenazas,Daño a la propiedad,Extorsión,Robo a negocio
2451,32039,22.0,45.0,15.0,0.0
2452,32040,6.0,20.0,2.0,2.0
2453,32041,2.0,2.0,0.0,0.0
2454,32042,29.0,68.0,8.0,6.0
2455,32043,3.0,1.0,0.0,0.0
2456,32044,9.0,12.0,1.0,0.0
2457,32045,10.0,24.0,0.0,0.0
2458,32046,2.0,3.0,2.0,1.0
2459,32047,4.0,15.0,2.0,0.0
2460,32048,29.0,53.0,4.0,3.0
2461,32049,19.0,52.0,10.0,0.0
2462,32050,9.0,13.0,1.0,0.0
2463,32051,8.0,40.0,6.0,0.0
2464,32052,2.0,8.0,0.0,0.0
2465,32053,1.0,6.0,3.0,0.0
2466,32054,1.0,5.0,3.0,0.0
2467,32055,35.0,57.0,7.0,3.0
2468,32056,297.0,512.0,98.0,62.0
2469,32057,33.0,25.0,11.0,2.0
2470,32058,3.0,4.0,0.0,0.0
