;cve_ent_mun;Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida;Restaurantes con servicio de preparación de antojitos;Restaurantes con servicio de preparación de pescados y mariscos;Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar;Restaurantes con servicio de preparación de tacos y tortas;Restaurantes de autoservicio;Restaurantes que preparan otro tipo de alimentos para llevar
710;19032;3.0;1.0;0.0;1.0;3.0;1.0;0.0
711;19033;39.0;31.0;6.0;38.0;143.0;2.0;7.0
712;19034;2.0;2.0;1.0;3.0;1.0;1.0;0.0
713;19035;1.0;0.0;0.0;0.0;0.0;0.0;0.0
714;19036;1.0;0.0;0.0;0.0;1.0;0.0;0.0
715;19037;5.0;0.0;0.0;6.0;2.0;0.0;0.0
716;19038;33.0;15.0;7.0;29.0;63.0;1.0;8.0
717;19039;1111.0;643.0;229.0;784.0;1862.0;280.0;334.0
718;19040;3.0;0.0;0.0;1.0;0.0;0.0;0.0
719;19041;6.0;6.0;3.0;37.0;28.0;2.0;2.0
720;19042;3.0;0.0;0.0;2.0;3.0;0.0;0.0
721;19043;2.0;0.0;0.0;1.0;0.0;0.0;0.0
722;19044;30.0;13.0;10.0;35.0;63.0;6.0;3.0
723;19045;10.0;10.0;3.0;21.0;16.0;0.0;5.0
724;19046;211.0;218.0;63.0;328.0;597.0;83.0;85.0
725;19047;11.0;4.0;1.0;17.0;16.0;0.0;3.0
726;19048;70.0;98.0;21.0;146.0;262.0;48.0;42.0
727;19049;57.0;26.0;33.0;38.0;52.0;4.0;4.0
728;19050;2.0;0.0;0.0;1.0;1.0;0.0;0.0
729;19051;4.0;1.0;2.0;10.0;7.0;0.0;4.0
730;20001;0.0;0.0;0.0;0.0;1.0;0.0;1.0
731;20002;10.0;68.0;3.0;37.0;73.0;0.0;26.0
732;20003;0.0;0.0;0.0;0.0;0.0;0.0;4.0
733;20004;2.0;1.0;0.0;0.0;1.0;1.0;1.0
734;20005;11.0;26.0;1.0;4.0;7.0;0.0;18.0
735;20006;39.0;55.0;11.0;21.0;75.0;1.0;22.0
