Municipality ID,Municipality,Population Age Range ID,Population Age Range,Sex ID,Sex,Projected Population
1009,Tepezalá,1,0 to 4 years,2,Female,1118
1009,Tepezalá,2,5 to 9 years,1,Male,1160
1009,Tepezalá,2,5 to 9 years,2,Female,1122
1009,Tepezalá,3,10 to 14 years,1,Male,1167
1009,Tepezalá,3,10 to 14 years,2,Female,1154
1009,Tepezalá,4,15 to 19 years,1,Male,1126
1009,Tepezalá,4,15 to 19 years,2,Female,1158
1009,Tepezalá,5,20 to 24 years,1,Male,1025
1009,Tepezalá,5,20 to 24 years,2,Female,1078
1009,Tepezalá,6,25 to 29 years,1,Male,941
1009,Tepezalá,6,25 to 29 years,2,Female,965
1009,Tepezalá,7,30 to 34 years,1,Male,844
1009,Tepezalá,7,30 to 34 years,2,Female,849
1009,Tepezalá,8,35 to 39 years,1,Male,717
1009,Tepezalá,8,35 to 39 years,2,Female,735
1009,Tepezalá,9,40 to 44 years,1,Male,583
1009,Tepezalá,9,40 to 44 years,2,Female,635
1009,Tepezalá,10,45 to 49 years,1,Male,506
1009,Tepezalá,10,45 to 49 years,2,Female,578
1009,Tepezalá,11,50 to 54 years,1,Male,456
1009,Tepezalá,11,50 to 54 years,2,Female,514
1009,Tepezalá,12,55 to 59 years,1,Male,405
1009,Tepezalá,12,55 to 59 years,2,Female,442
1009,Tepezalá,13,60 to 64 years,1,Male,354
1009,Tepezalá,13,60 to 64 years,2,Female,380
1009,Tepezalá,14,65 or more years,1,Male,938
1009,Tepezalá,14,65 or more years,2,Female,957
1010,El Llano,1,0 to 4 years,1,Male,1061
1010,El Llano,1,0 to 4 years,2,Female,974
1010,El Llano,2,5 to 9 years,1,Male,1121
1010,El Llano,2,5 to 9 years,2,Female,1012
1010,El Llano,3,10 to 14 years,1,Male,1184
1010,El Llano,3,10 to 14 years,2,Female,1079
1010,El Llano,4,15 to 19 years,1,Male,1151
1010,El Llano,4,15 to 19 years,2,Female,1094
1010,El Llano,5,20 to 24 years,1,Male,993
1010,El Llano,5,20 to 24 years,2,Female,981
1010,El Llano,6,25 to 29 years,1,Male,877
1010,El Llano,6,25 to 29 years,2,Female,876
1010,El Llano,7,30 to 34 years,1,Male,818
1010,El Llano,7,30 to 34 years,2,Female,833
1010,El Llano,8,35 to 39 years,1,Male,735
1010,El Llano,8,35 to 39 years,2,Female,765
1010,El Llano,9,40 to 44 years,1,Male,647
1010,El Llano,9,40 to 44 years,2,Female,663
1010,El Llano,10,45 to 49 years,1,Male,584
1010,El Llano,10,45 to 49 years,2,Female,590
1010,El Llano,11,50 to 54 years,1,Male,492
1010,El Llano,11,50 to 54 years,2,Female,500
1010,El Llano,12,55 to 59 years,1,Male,409
1010,El Llano,12,55 to 59 years,2,Female,396
1010,El Llano,13,60 to 64 years,1,Male,341
1010,El Llano,13,60 to 64 years,2,Female,320
1010,El Llano,14,65 or more years,1,Male,836
1010,El Llano,14,65 or more years,2,Female,857
1011,San Francisco de los Romo,1,0 to 4 years,1,Male,2843
1011,San Francisco de los Romo,1,0 to 4 years,2,Female,2837
1011,San Francisco de los Romo,2,5 to 9 years,1,Male,2905
1011,San Francisco de los Romo,2,5 to 9 years,2,Female,2816
1011,San Francisco de los Romo,3,10 to 14 years,1,Male,2730
1011,San Francisco de los Romo,3,10 to 14 years,2,Female,2562
1011,San Francisco de los Romo,4,15 to 19 years,1,Male,2433
1011,San Francisco de los Romo,4,15 to 19 years,2,Female,2406
1011,San Francisco de los Romo,5,20 to 24 years,1,Male,2280
1011,San Francisco de los Romo,5,20 to 24 years,2,Female,2432
1011,San Francisco de los Romo,6,25 to 29 years,1,Male,2530
1011,San Francisco de los Romo,6,25 to 29 years,2,Female,2562
