"imun","idmes","asegurados","casos_diarios_prom","muertos_diarios_prom","hospitalizados_diarios_prom","tasa_empleabilidad"
5008,201905,181,0,0,0,-4
5008,201906,176,0,0,0,-5
5008,201907,181,0,0,0,5
5008,201908,182,0,0,0,1
5008,201909,190,0,0,0,8
5008,201910,199,0,0,0,9
5008,201911,200,0,0,0,1
5008,201912,179,0,0,0,-21
5008,202001,188,0,0,0,9
5008,202002,202,0,0,0,14
5008,202003,203,0,0,0,1
5008,202004,208,2,0,0,5
5008,202005,210,0,0,0,2
5008,202006,217,0,0,0,7
5008,202007,213,1,0,1,-4
5008,202008,196,3,0,0,-17
5008,202009,194,0,0,0,-2
5008,202010,202,3,1,1,8
5010,201901,22763,0,0,0,0
5010,201902,22747,0,0,0,-16
5010,201903,22822,0,0,0,75
5010,201904,23008,0,0,0,186
5010,201905,23346,0,0,0,338
5010,201906,23454,0,0,0,108
5010,201907,23407,0,0,0,-47
5010,201908,23491,0,0,0,84
5010,201909,23463,0,0,0,-28
5010,201910,23160,0,0,0,-303
5010,201911,22700,0,0,0,-460
5010,201912,22225,0,0,0,-475
5010,202001,21602,0,0,0,-623
5010,202002,20719,0,0,0,-883
5010,202003,20293,8,0,3,-426
5010,202004,19734,24,2,4,-559
5010,202005,19411,25,1,3,-323
5010,202006,18937,51,3,11,-474
5010,202007,18874,193,14,27,-63
5010,202008,19256,188,14,30,382
5010,202009,19026,171,15,39,-230
5010,202010,17957,156,18,26,-1069
5011,201901,412,0,0,0,0
5011,201902,433,0,0,0,21
5011,201903,452,0,0,0,19
5011,201904,453,0,0,0,1
5011,201905,476,0,0,0,23
5011,201906,521,0,0,0,45
5011,201907,586,0,0,0,65
5011,201908,652,0,0,0,66
5011,201909,681,0,0,0,29
5011,201910,735,0,0,0,54
5011,201911,706,0,0,0,-29
5011,201912,711,0,0,0,5
5011,202001,727,0,0,0,16
5011,202002,755,0,0,0,28
5011,202003,818,0,0,0,63
5011,202004,819,0,0,0,1
5011,202005,819,1,0,0,0
5011,202006,840,0,0,0,21
5011,202007,862,5,0,1,22
5011,202008,867,8,0,2,5
5011,202009,916,10,2,1,49
5011,202010,928,31,0,0,12
