"cve_ent","cve_mun","anio","mes","asegurados","casos_diarios","muertos_diarios","hospitalizados_diarios"
"1","006",2020,6,3134,57,3,12
"1","006",2020,7,3193,70,3,8
"1","006",2020,8,3220,40,3,11
"1","006",2020,9,3105,80,4,17
"1","006",2020,10,3134,107,12,13
"1","007",2020,1,4040,0,0,0
"1","007",2020,2,4155,0,0,0
"1","007",2020,3,4276,1,0,0
"1","007",2020,4,4202,10,0,0
"1","007",2020,5,4336,40,0,2
"1","007",2020,6,4297,89,5,14
"1","007",2020,7,4392,153,1,16
"1","007",2020,8,4226,84,3,26
"1","007",2020,9,4382,38,6,21
"1","007",2020,10,4377,80,1,10
"1","008",2020,1,286,0,0,0
"1","008",2020,2,283,0,0,0
"1","008",2020,3,283,0,0,0
"1","008",2020,4,271,4,0,1
"1","008",2020,5,275,1,0,0
"1","008",2020,6,279,18,0,1
"1","008",2020,7,282,26,0,1
"1","008",2020,8,277,6,1,2
"1","008",2020,9,275,3,0,0
"1","008",2020,10,278,9,0,0
"1","009",2020,1,1877,0,0,0
"1","009",2020,2,1876,0,0,0
"1","009",2020,3,1880,1,0,1
"1","009",2020,4,1866,1,0,1
"1","009",2020,5,1867,24,0,2
"1","009",2020,6,1835,43,1,6
"1","009",2020,7,1831,48,1,4
"1","009",2020,8,1785,24,1,4
"1","009",2020,9,1782,13,1,6
"1","009",2020,10,1712,20,0,3
"1","010",2020,1,2206,0,0,0
"1","010",2020,2,1568,0,0,0
"1","010",2020,3,1451,0,0,0
"1","010",2020,4,1302,1,0,1
"1","010",2020,5,1325,3,0,1
"1","010",2020,6,1299,3,0,2
"1","010",2020,7,1359,7,2,2
"1","010",2020,8,1343,4,0,3
"1","010",2020,9,1452,4,2,0
"1","010",2020,10,1444,6,2,4
"1","011",2020,1,22573,0,0,0
"1","011",2020,2,22593,0,0,0
"1","011",2020,3,22752,0,0,0
"1","011",2020,4,22491,4,0,0
"1","011",2020,5,22086,8,1,2
"1","011",2020,6,21724,20,3,10
"1","011",2020,7,21707,17,3,9
"1","011",2020,8,21812,12,2,7
"1","011",2020,9,22105,15,1,0
"1","011",2020,10,22591,20,2,3
"11","002",2020,1,7103,0,0,0
"11","002",2020,2,7152,0,0,0
"11","002",2020,3,6795,0,0,0
"11","002",2020,4,6639,6,3,2
"11","002",2020,5,6474,41,3,9
"11","002",2020,6,6459,69,2,5
"11","002",2020,7,6505,219,5,8
"11","002",2020,8,6471,269,8,16
"11","002",2020,9,6534,285,9,20
"11","002",2020,10,6609,276,10,18
"11","003",2020,1,19664,0,0,0
"11","003",2020,2,19754,0,0,0
"11","003",2020,3,19626,2,0,1
"11","003",2020,4,19088,7,0,0
"11","003",2020,5,18639,12,1,3
"11","003",2020,6,18716,63,6,13
"11","003",2020,7,18882,149,9,27
"11","003",2020,8,18633,151,8,16
"11","003",2020,9,18491,182,11,18
"11","003",2020,10,18931,150,8,17
"11","004",2020,1,3742,0,0,0
"11","004",2020,2,3832,0,0,0
"11","004",2020,3,3851,0,0,0
"11","004",2020,4,3770,1,0,0
"11","004",2020,5,3515,11,0,3
"11","004",2020,6,3521,27,3,7
"11","004",2020,7,3538,47,3,9
"11","004",2020,8,3590,40,2,3
"11","004",2020,9,3625,67,3,7
"11","004",2020,10,3633,85,5,8
"11","005",2020,1,21513,0,0,0
"11","005",2020,2,22206,0,0,0
"11","005",2020,3,23071,0,0,0
"11","005",2020,4,22596,3,0,0
"11","005",2020,5,22218,16,2,4
"11","005",2020,6,22519,49,3,12
"11","005",2020,7,22692,97,11,22
"11","005",2020,8,22902,84,9,18
"11","005",2020,9,23287,82,7,18
"11","005",2020,10,23541,78,10,19
"11","006",2020,1,4,0,0,0
"11","006",2020,2,4,0,0,0
"11","006",2020,3,4,0,0,0
"11","006",2020,4,4,0,0,0
"11","006",2020,5,4,1,0,1
"11","006",2020,6,4,1,0,0
"11","006",2020,7,4,1,0,0
"11","006",2020,8,5,0,0,0
"11","006",2020,9,6,1,0,0
"11","006",2020,10,12,0,0,0
"11","007",2020,1,125480,0,0,0
"11","007",2020,2,126649,0,0,0
"11","007",2020,3,126325,5,0,1
"11","007",2020,4,123470,23,6,14
"11","007",2020,5,123233,151,23,39
"11","007",2020,6,122118,580,49,106
"11","007",2020,7,122569,1101,71,139
"11","007",2020,8,122975,982,62,122
"11","007",2020,9,123380,937,55,98
"11","007",2020,10,123600,1077,35,98
"11","008",2020,1,2277,0,0,0
"11","008",2020,2,2283,0,0,0
"11","008",2020,3,2298,0,0,0
"11","008",2020,4,2293,0,0,0
"11","008",2020,5,2253,1,0,0
"11","008",2020,6,2055,11,1,3
"11","008",2020,7,1904,42,2,4
"11","008",2020,8,1886,67,6,2
"11","008",2020,9,1905,72,1,0
"11","008",2020,10,1910,35,6,0
"11","009",2020,1,3456,0,0,0
"11","009",2020,2,3552,0,0,0
"11","009",2020,3,3550,0,0,0
"11","009",2020,4,3457,1,0,0
"11","009",2020,5,3257,8,0,4
"11","009",2020,6,3255,36,4,7
"11","009",2020,7,3519,64,6,15
"11","009",2020,8,3670,66,9,18
"11","009",2020,9,3755,48,3,10
"11","009",2020,10,3780,90,5,17
"11","010",2020,1,129,0,0,0
"11","010",2020,2,133,0,0,0
"11","010",2020,3,124,0,0,0
"11","010",2020,4,120,1,0,0
"11","010",2020,5,118,4,0,0
"11","010",2020,6,121,20,0,0
"11","010",2020,7,118,9,0,1
"11","010",2020,8,117,22,0,1
"11","010",2020,9,117,19,0,0
"11","010",2020,10,118,26,1,2
"11","011",2020,1,7529,0,0,0
"11","011",2020,2,7475,0,0,0
"11","011",2020,3,7782,0,0,0
"11","011",2020,4,7531,9,1,4
"11","011",2020,5,7173,24,3,3
"11","011",2020,6,7244,135,13,30
"11","011",2020,7,7371,134,15,22
"11","011",2020,8,7375,152,22,26
"11","011",2020,9,7476,167,10,24
"11","011",2020,10,7503,164,14,24
"11","012",2020,1,828,0,0,0
"11","012",2020,2,820,0,0,0
"11","012",2020,3,832,0,0,0
"11","012",2020,4,804,0,0,0
"11","012",2020,5,742,8,0,0
"11","012",2020,6,693,30,0,0
"11","012",2020,7,746,55,1,4
"11","012",2020,8,749,45,1,1
"11","012",2020,9,785,57,1,2
"11","012",2020,10,815,45,1,3
"11","013",2020,1,3435,0,0,0
"11","013",2020,2,3444,0,0,0
"11","013",2020,3,3409,0,0,0
"11","013",2020,4,3301,1,0,0
"11","013",2020,5,3412,2,1,1
"11","013",2020,6,3420,15,2,3
"11","013",2020,7,3390,5,1,1
"11","013",2020,8,3370,11,2,2
"11","013",2020,9,3409,16,1,2
"11","013",2020,10,3471,25,1,1
"11","014",2020,1,9421,0,0,0
"11","014",2020,2,9627,0,0,0
"11","014",2020,3,10042,0,0,0
"11","014",2020,4,9985,2,0,0
"11","014",2020,5,10604,13,2,2
"11","014",2020,6,11081,103,1,16
"11","014",2020,7,11700,218,23,36
"11","014",2020,8,11261,206,12,17
"11","014",2020,9,9937,164,8,13
"11","014",2020,10,9772,304,15,29
"11","015",2020,1,19869,0,0,0
"11","015",2020,2,20212,0,0,0
"11","015",2020,3,19671,3,0,1
"11","015",2020,4,19138,8,2,5
"11","015",2020,5,18614,17,2,4
"11","015",2020,6,18399,135,8,47
"11","015",2020,7,18273,404,31,102
"11","015",2020,8,18277,479,33,84
"11","015",2020,9,18406,269,16,43
"11","015",2020,10,18463,354,15,35
"11","016",2020,1,258,0,0,0
"11","016",2020,2,242,0,0,0
"11","016",2020,3,243,0,0,0
"11","016",2020,4,230,0,0,0
"11","016",2020,5,238,4,1,1
"11","016",2020,6,232,7,0,0
"11","016",2020,7,240,53,3,2
"11","016",2020,8,251,39,2,1
"11","016",2020,9,240,12,4,3
"11","016",2020,10,227,15,1,0
"11","017",2020,1,117678,0,0,0
"11","017",2020,2,117240,0,0,0
"11","017",2020,3,116483,10,0,1
"11","017",2020,4,113829,20,0,4
"11","017",2020,5,112717,151,8,34
"11","017",2020,6,112476,792,56,214
"11","017",2020,7,113463,1595,117,260
"11","017",2020,8,113463,1161,106,204
"11","017",2020,9,115143,651,48,64
"11","017",2020,10,116126,692,29,78
"11","018",2020,1,2971,0,0,0
"11","018",2020,2,3101,0,0,0
"11","018",2020,3,3044,0,0,0
"11","018",2020,4,2981,2,1,1
"11","018",2020,5,2943,4,1,1
"11","018",2020,6,2995,19,0,3
"11","018",2020,7,3016,100,3,12
"11","018",2020,8,2989,151,5,10
"11","018",2020,9,3164,80,3,6
"11","018",2020,10,3210,96,4,11
"11","019",2020,1,917,0,0,0
"11","019",2020,2,940,0,0,0
"11","019",2020,3,935,0,0,0
"11","019",2020,4,885,2,0,1
"11","019",2020,5,887,2,0,2
"11","019",2020,6,862,38,1,4
"11","019",2020,7,884,33,2,2
"11","019",2020,8,907,45,2,1
"11","019",2020,9,914,60,1,2
"11","019",2020,10,943,33,1,3
"11","020",2020,1,398929,0,0,0
"11","020",2020,2,399945,0,0,0
"11","020",2020,3,397824,32,0,2
"11","020",2020,4,387401,77,2,16
"11","020",2020,5,377883,841,41,163
"11","020",2020,6,373450,3680,301,721
"11","020",2020,7,373220,5359,567,819
"11","020",2020,8,373955,2841,328,479
"11","020",2020,9,373993,1972,115,230
"11","020",2020,10,375172,2301,115,261
"11","021",2020,1,3189,0,0,0
"11","021",2020,2,3271,0,0,0
"11","021",2020,3,3260,0,0,0
"11","021",2020,4,3233,10,3,2
"11","021",2020,5,3172,1,0,1
"11","021",2020,6,3085,30,0,4
"11","021",2020,7,3075,100,0,5
"11","021",2020,8,3090,124,5,14
"11","021",2020,9,3113,172,6,17
"11","021",2020,10,3121,120,2,11
"11","023",2020,1,12635,0,0,0
"11","023",2020,2,12705,0,0,0
"11","023",2020,3,12685,0,0,0
"11","023",2020,4,12710,5,1,1
"11","023",2020,5,12746,15,0,3
"11","023",2020,6,12676,99,8,18
"11","023",2020,7,12691,223,27,51
"11","023",2020,8,12724,240,14,30
"11","023",2020,9,12834,158,3,9
"11","023",2020,10,12905,168,7,13
"11","024",2020,1,4843,0,0,0
"11","024",2020,2,5021,0,0,0
"11","024",2020,3,5016,0,0,0
"11","024",2020,4,4806,0,0,0
"11","024",2020,5,4991,3,0,0
"11","024",2020,6,4906,12,0,0
"11","024",2020,7,4634,21,3,3
"11","024",2020,8,4840,21,0,2
"11","024",2020,9,4768,11,0,0
"11","024",2020,10,5157,9,0,0
"11","025",2020,1,10565,0,0,0
"11","025",2020,2,10654,0,0,0
"11","025",2020,3,10588,0,0,0
"11","025",2020,4,10458,0,0,0
"11","025",2020,5,9884,1,1,0
"11","025",2020,6,9617,24,5,10
"11","025",2020,7,9563,128,7,27
"11","025",2020,8,9566,92,7,14
"11","025",2020,9,9556,82,4,12
"11","025",2020,10,9635,42,3,6
"11","026",2020,1,3716,0,0,0
"11","026",2020,2,3679,0,0,0
"11","026",2020,3,3584,0,0,0
"11","026",2020,4,3434,12,1,4
"11","026",2020,5,3227,39,3,19
"11","026",2020,6,3170,90,8,33
"11","026",2020,7,3276,150,5,22
"11","026",2020,8,3382,78,3,7
"11","026",2020,9,3456,26,0,2
"11","026",2020,10,3448,42,3,4
"11","027",2020,1,44434,0,0,0
"11","027",2020,2,44494,0,0,0
"11","027",2020,3,44560,3,0,2
"11","027",2020,4,44011,45,6,12
"11","027",2020,5,43409,43,4,8
"11","027",2020,6,43043,277,20,63
"11","027",2020,7,43266,679,34,109
"11","027",2020,8,44012,772,54,131
"11","027",2020,9,44403,587,41,61
"11","027",2020,10,45770,541,23,65
"11","028",2020,1,3525,0,0,0
"11","028",2020,2,3602,0,0,0
"11","028",2020,3,3556,0,0,0
"11","028",2020,4,3563,8,1,0
"11","028",2020,5,3558,24,1,1
"11","028",2020,6,3629,85,6,12
"11","028",2020,7,3559,177,6,7
"11","028",2020,8,3570,256,14,23
"11","028",2020,9,3583,238,10,12
"11","028",2020,10,3587,211,4,6
"11","029",2020,1,1369,0,0,0
"11","029",2020,2,1409,0,0,0
"11","029",2020,3,1387,0,0,0
"11","029",2020,4,1369,1,0,0
"11","029",2020,5,1300,8,0,0
"11","029",2020,6,1344,27,1,2
"11","029",2020,7,1313,69,2,2
"11","029",2020,8,1333,131,2,6
"11","029",2020,9,1291,100,1,1
"11","029",2020,10,1292,101,0,1
"11","031",2020,1,27657,0,0,0
"11","031",2020,2,27603,0,0,0
"11","031",2020,3,27798,0,0,0
"11","031",2020,4,27089,2,0,1
"11","031",2020,5,25569,5,2,4
"11","031",2020,6,25055,110,4,26
"11","031",2020,7,25376,329,27,50
"11","031",2020,8,25320,295,22,35
"11","031",2020,9,25025,207,9,23
"11","031",2020,10,25244,119,3,9
"11","032",2020,1,22273,0,0,0
"11","032",2020,2,22514,0,0,0
"11","032",2020,3,23267,0,0,0
"11","032",2020,4,23211,0,0,0
"11","032",2020,5,23083,7,1,3
"11","032",2020,6,22299,57,2,11
"11","032",2020,7,22526,66,6,12
"11","032",2020,8,22878,92,13,22
"11","032",2020,9,23378,91,7,10
"11","032",2020,10,23272,107,7,21
"11","033",2020,1,8195,0,0,0
"11","033",2020,2,8223,0,0,0
"11","033",2020,3,8402,1,0,0
"11","033",2020,4,8469,7,1,1
"11","033",2020,5,8399,28,5,7
"11","033",2020,6,8264,74,7,10
"11","033",2020,7,8203,201,19,21
"11","033",2020,8,8303,232,22,38
"11","033",2020,9,8313,207,19,25
"11","033",2020,10,8426,215,15,27
"11","035",2020,1,5541,0,0,0
"11","035",2020,2,5529,0,0,0
"11","035",2020,3,5613,0,0,0
"11","035",2020,4,5455,4,0,2
"11","035",2020,5,5311,51,8,10
"11","035",2020,6,5240,80,10,24
"11","035",2020,7,4710,101,10,15
"11","035",2020,8,4533,81,5,12
"11","035",2020,9,5322,74,3,7
"11","035",2020,10,5620,130,4,19
"11","036",2020,1,102,0,0,0
"11","036",2020,2,108,0,0,0
"11","036",2020,3,108,0,0,0
"11","036",2020,4,101,1,0,0
"11","036",2020,5,106,23,2,0
"11","036",2020,6,107,5,0,0
"11","036",2020,7,102,11,0,1
"11","036",2020,8,98,21,1,1
"11","036",2020,9,70,26,4,4
"11","036",2020,10,80,5,0,0
"11","037",2020,1,82964,0,0,0
"11","037",2020,2,83234,0,0,0
"11","037",2020,3,82730,1,0,0
"11","037",2020,4,80414,3,1,1
"11","037",2020,5,79927,44,6,24
"11","037",2020,6,79034,340,40,138
"11","037",2020,7,79728,644,67,145
"11","037",2020,8,81199,306,29,42
"11","037",2020,9,81621,160,19,30
"11","037",2020,10,82188,163,10,13
"11","038",2020,1,496,0,0,0
"11","038",2020,2,505,0,0,0
"11","038",2020,3,492,0,0,0
"11","038",2020,4,437,0,0,0
"11","038",2020,5,432,5,1,0
"11","038",2020,6,423,8,0,0
